patch name,age,Split,base,rIdx,cIdx,count_DN3,count_Postsel DP (CD69+),count_Postsel DP (CD69-),count_Presel DP,shape_cluster,comp_cluster_raw,comp_cluster_aligned,enrich_DN3,enrich_Postsel DP (CD69+),enrich_Postsel DP (CD69-),enrich_Presel DP
O1_K8_sq_r38_c38.tif,O,O1,O1_K8_sq,38,38,5,0,9,94,0,0,0,4.521558,4.0675764,0.73762304,0.9866209
O1_K8_sq_r38_c39.tif,O,O1,O1_K8_sq,38,39,3,0,10,115,0,0,0,2.434685,3.4417953,0.6898418,1.0203515
O1_K8_sq_r38_c40.tif,O,O1,O1_K8_sq,38,40,3,0,8,100,1,0,0,2.800965,3.9595876,0.642457,1.0214069
O1_K8_sq_r38_c41.tif,O,O1,O1_K8_sq,38,41,1,0,18,156,0,2,2,0.7663657,2.5278723,0.8926928,1.0154353
O1_K8_sq_r38_c42.tif,O,O1,O1_K8_sq,38,42,2,0,12,151,0,0,0,1.3537598,2.679242,0.6392888,1.0418551
O1_K8_sq_r38_c43.tif,O,O1,O1_K8_sq,38,43,6,0,7,96,0,0,0,5.295518,4.0309315,0.5770877,0.9984252
O1_K8_sq_r37_c36.tif,O,O1,O1_K8_sq,37,36,1,0,10,77,0,2,2,1.5071859,4.9714823,0.9964382,0.98894095
O1_K8_sq_r37_c37.tif,O,O1,O1_K8_sq,37,37,1,2,16,120,0,1,1,0.9620335,15.866433,0.9994669,0.9814747
O1_K8_sq_r37_c38.tif,O,O1,O1_K8_sq,37,38,4,2,38,105,1,1,1,2.6949682,14.815675,2.1776464,0.8023922
O1_K8_sq_r37_c39.tif,O,O1,O1_K8_sq,37,39,0,0,18,101,1,2,2,0.37368244,3.6977966,1.3058399,0.9633672
O1_K8_sq_r37_c40.tif,O,O1,O1_K8_sq,37,40,1,0,15,123,0,2,2,0.9620335,3.1732864,0.9388931,1.0059097
O1_K8_sq_r37_c41.tif,O,O1,O1_K8_sq,37,41,0,0,28,123,0,2,2,0.29552665,2.9244013,1.5909517,0.9270149
O1_K8_sq_r37_c42.tif,O,O1,O1_K8_sq,37,42,0,0,20,150,0,2,2,0.26288125,2.601357,1.0179559,1.0048916
O1_K8_sq_r37_c43.tif,O,O1,O1_K8_sq,37,43,3,0,10,115,0,0,0,2.434685,3.4417953,0.6898418,1.0203515
O1_K8_sq_r36_c34.tif,O,O1,O1_K8_sq,36,34,1,0,9,74,1,2,2,1.5772877,5.202714,0.9434714,0.9948761
O1_K8_sq_r36_c35.tif,O,O1,O1_K8_sq,36,35,2,0,15,116,2,2,2,1.674651,3.3143213,0.9806217,0.9910677
O1_K8_sq_r36_c36.tif,O,O1,O1_K8_sq,36,36,2,1,26,105,1,1,1,1.6623374,9.869855,1.6642193,0.8908914
O1_K8_sq_r36_c37.tif,O,O1,O1_K8_sq,36,37,3,1,26,129,1,1,1,1.9658947,8.337269,1.4058001,0.9237513
O1_K8_sq_r36_c38.tif,O,O1,O1_K8_sq,36,38,0,2,56,106,0,1,1,0.27238297,13.47691,2.9069927,0.73680526
O1_K8_sq_r36_c39.tif,O,O1,O1_K8_sq,36,39,0,3,20,43,0,1,1,0.664935,46.059322,2.5748296,0.7346687
O1_K8_sq_r36_c40.tif,O,O1,O1_K8_sq,36,40,0,1,14,72,0,1,1,0.5080402,15.082025,1.3914948,0.9355331
O1_K8_sq_r36_c41.tif,O,O1,O1_K8_sq,36,41,2,0,21,134,0,2,2,1.4218736,2.8140464,1.1549014,0.9714855
O1_K8_sq_r36_c42.tif,O,O1,O1_K8_sq,36,42,1,1,18,135,0,1,1,0.8639919,8.549683,1.0064117,0.99117607
O1_K8_sq_r36_c43.tif,O,O1,O1_K8_sq,36,43,1,0,3,80,0,1,1,1.5772877,5.202714,0.3475947,1.0750004
O1_K8_sq_r35_c32.tif,O,O1,O1_K8_sq,35,32,2,0,3,90,0,0,0,2.3307,4.6127152,0.30817676,1.0714898
