patch_df_cortex_cell
patch name;p value;Split;rIdx;cIdx;x_min;x_max;y_min;y_max;BC;CD11b+;DC (CD11c+);DN3;Endo;Fb (PDPN+, ERTR7+);Fb (PDPN+, ERTR7-);Fb (PDPN-, ERTR7+);ICOS+;ISP8;MP;Postsel DP (CD69+);Postsel DP (CD69-);Presel DP;SP4 (CD69+);SP4 (CD69-);SP4 (Helios+);SP8 (CD69+);SP8 (CD69-);T-reg;TEC (PDPN+);cDC1 (XCR1+);cDC2 (SIRPa+);cTEC hi (Ly51+);cTEC hi (Ly51-);cTEC lo (Ly51+);cTEC lo (Ly51-);gd-TC (PD1+);gd-TC (PD1-);mTEC (Aire+);mTEC (CD49f+);mTEC (K10+);mTEC (Ly6g+);mTEC (PIGR+);mTEC hi (K14+, CD86+);mTEC hi (K14+, CD86-);mTEC hi (K8+, CD86+);mTEC hi (K8+, CD86-);mTEC lo (K14+);mTEC lo (K8+);pDCs (PDCA1+);n_cells_total;age;white_pixel_count;base
O1_K8_sq_r38_c38.tif;0.04;O1;38;38;18893;19093;2000;2200;0;0;0;5;3;0;0;4;0;1;0;0;24;211;0;0;0;0;0;0;2;0;0;4;2;11;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310;O;16298;O1_K8_sq
O1_K8_sq_r38_c39.tif;0.06;O1;38;39;19093;19293;2000;2200;0;0;0;6;2;0;0;2;0;0;2;0;27;251;0;0;0;0;0;0;0;0;0;1;0;10;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353;O;15682;O1_K8_sq
O1_K8_sq_r38_c40.tif;0.5800000000000001;O1;38;40;19293;19493;2000;2200;0;0;0;5;0;0;0;0;0;0;1;0;13;241;0;0;0;0;0;0;0;0;0;1;0;16;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;O;13254;O1_K8_sq
O1_K8_sq_r38_c41.tif;0.0999999999999999;O1;38;41;19493;19693;2000;2200;0;0;0;4;0;0;0;0;0;0;0;0;38;296;0;0;0;0;0;1;0;1;0;0;1;4;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405;O;15827;O1_K8_sq
O1_K8_sq_r38_c42.tif;0.0;O1;38;42;19693;19893;2000;2200;0;0;0;3;0;0;0;0;0;0;0;0;35;290;0;0;0;0;0;0;0;0;0;4;1;2;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;391;O;18195;O1_K8_sq
O1_K8_sq_r38_c43.tif;0.0;O1;38;43;19893;20093;2000;2200;0;0;0;8;2;2;1;2;0;0;1;0;18;203;0;0;0;0;0;0;0;0;0;10;4;11;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;O;20921;O1_K8_sq
O1_K8_sq_r37_c36.tif;0.5900000000000001;O1;37;36;18493;18693;2200;2400;0;0;0;1;2;5;1;0;0;0;0;0;17;189;0;0;0;0;0;0;2;0;0;4;1;16;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275;O;12663;O1_K8_sq
O1_K8_sq_r37_c37.tif;0.14;O1;37;37;18693;18893;2200;2400;0;0;0;1;11;7;0;5;0;1;1;2;43;235;0;0;0;0;0;0;1;0;0;3;4;14;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368;O;12181;O1_K8_sq
O1_K8_sq_r37_c38.tif;0.71;O1;37;38;18893;19093;2200;2400;0;1;1;6;0;0;0;0;0;2;1;3;78;251;0;0;0;0;0;0;0;0;0;1;5;5;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;402;O;11033;O1_K8_sq
O1_K8_sq_r37_c39.tif;0.6699999999999999;O1;37;39;19093;19293;2200;2400;1;3;1;0;2;6;0;13;0;1;3;3;40;217;1;4;0;0;0;0;5;0;0;1;7;4;43;1;1;1;0;0;0;1;0;5;0;0;1;0;0;365;O;13477;O1_K8_sq
O1_K8_sq_r37_c40.tif;0.2099999999999999;O1;37;40;19293;19493;2200;2400;1;4;0;3;2;2;0;0;0;1;3;0;31;265;0;3;0;0;0;1;4;0;0;1;3;7;48;1;0;0;0;0;0;0;0;2;0;1;0;0;0;383;O;14252;O1_K8_sq
O1_K8_sq_r37_c41.tif;0.39;O1;37;41;19493;19693;2200;2400;0;2;1;3;1;1;0;4;0;2;0;0;54;272;0;0;0;0;0;0;2;0;0;0;3;2;58;0;1;0;0;0;0;0;0;0;0;0;0;0;0;406;O;14097;O1_K8_sq
O1_K8_sq_r37_c42.tif;0.0999999999999999;O1;37;42;19693;19893;2200;2400;0;0;0;2;2;0;0;2;0;0;2;1;35;310;0;0;0;0;0;0;0;0;0;1;3;0;61;1;1;0;0;0;0;0;0;0;0;0;0;0;0;421;O;15555;O1_K8_sq
O1_K8_sq_r37_c43.tif;0.0699999999999999;O1;37;43;19893;20093;2200;2400;0;0;0;5;0;0;0;0;0;0;0;0;24;249;0;0;0;0;0;0;0;0;0;2;1;5;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;342;O;17664;O1_K8_sq
O1_K8_sq_r36_c34.tif;0.78;O1;36;34;18093;18293;2400;2600;1;0;0;4;0;4;2;1;0;1;0;0;14;199;0;0;0;0;0;0;0;0;0;6;5;9;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;O;9924;O1_K8_sq
O1_K8_sq_r36_c35.tif;0.2299999999999999;O1;36;35;18293;18493;2400;2600;1;0;0;4;8;0;2;9;0;1;0;0;45;260;0;0;0;0;0;0;0;0;0;0;8;2;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385;O;6669;O1_K8_sq
O1_K8_sq_r36_c36.tif;0.96;O1;36;36;18493;18693;2400;2600;2;0;0;6;10;2;4;11;0;2;0;1;64;247;0;0;0;0;0;0;2;0;0;5;9;5;40;2;0;0;0;0;0;0;0;0;0;0;1;0;0;413;O;9720;O1_K8_sq
O1_K8_sq_r36_c37.tif;0.76;O1;36;37;18693;18893;2400;2600;1;1;0;4;0;0;0;1;0;1;1;1;59;290;0;0;0;0;0;0;0;0;0;2;6;0;52;1;1;0;0;0;0;0;0;0;0;0;0;0;0;421;O;10262;O1_K8_sq
O1_K8_sq_r36_c38.tif;0.2199999999999999;O1;36;38;18893;19093;2400;2600;0;9;0;0;0;0;0;0;0;1;2;4;133;221;0;0;0;0;0;1;0;1;0;0;16;1;46;0;0;0;0;0;1;0;0;0;0;0;0;0;0;436;O;12266;O1_K8_sq
